URL	A	B	C	D	E	F	links
gosagewood.com	https://gosagewood.com/services/	https://gosagewood.com/success-stories/testimonials-reviews/			https://www.gosagewood.com		[ "gosagewood.com", "https://gosagewood.com/services/", "https://gosagewood.com/success-stories/testimonials-reviews/", "https://www.gosagewood.com" ]
tkfpc.com	https://www.tkfpc.com/contact/	https://www.tkfpc.com/attorneys/			https://www.tkfpc.com		[ "tkfpc.com", "https://www.tkfpc.com/contact/", "https://www.tkfpc.com/attorneys/", "https://www.tkfpc.com" ]
bershlaw.com	https://bershlaw.com/about-us/	https://bershlaw.com/practice-areas/real-estate/			https://www.bershlaw.com		[ "bershlaw.com", "https://bershlaw.com/about-us/", "https://bershlaw.com/practice-areas/real-estate/", "https://www.bershlaw.com" ]
lionheartedleader.com	https://lionheartedleader.com/	https://lionheartedleader.com/contact/					[ "lionheartedleader.com", "https://lionheartedleader.com/", "https://lionheartedleader.com/contact/" ]
slslawkc.com	https://www.slslawkc.com/blank-6	https://www.slslawkc.com/book-online-1	https://www.slslawkc.com/blank-7		https://www.slslawkc.com		[ "slslawkc.com", "https://www.slslawkc.com/blank-6", "https://www.slslawkc.com/book-online-1", "https://www.slslawkc.com/blank-7", "https://www.slslawkc.com" ]
preservesettlements.com	https://www.preservesettlements.com/contact-us.html				https://www.preservesettlements.com		[ "preservesettlements.com", "https://www.preservesettlements.com/contact-us.html", "https://www.preservesettlements.com" ]
adrnotable.com	https://www.adrnotable.com/why-adr-notable/	https://www.adrnotable.com/scheduling/			https://www.adrnotable.com		[ "adrnotable.com", "https://www.adrnotable.com/why-adr-notable/", "https://www.adrnotable.com/scheduling/", "https://www.adrnotable.com" ]
nourmandlawfirm.com	https://www.nourmandlawfirm.com/contact-us.html				https://www.nourmandlawfirm.com		[ "nourmandlawfirm.com", "https://www.nourmandlawfirm.com/contact-us.html", "https://www.nourmandlawfirm.com" ]
astitle.com	https://www.astitle.com/order-title/	https://astitle.wpengine.com/about-us/			https://www.astitle.com		[ "astitle.com", "https://www.astitle.com/order-title/", "https://astitle.wpengine.com/about-us/", "https://www.astitle.com" ]
eckhauslaw.com	https://www.eckhauslaw.com/our-founder	https://www.eckhauslaw.com/contact			https://www.eckhauslaw.com		[ "eckhauslaw.com", "https://www.eckhauslaw.com/our-founder", "https://www.eckhauslaw.com/contact", "https://www.eckhauslaw.com" ]
heilbutllp.com	https://www.heilbutllp.com/services	https://www.heilbutllp.com/contact			https://www.heilbutllp.com		[ "heilbutllp.com", "https://www.heilbutllp.com/services", "https://www.heilbutllp.com/contact", "https://www.heilbutllp.com" ]
kmlawfirm.com	https://kmlawfirm.com/firm-news/	https://kmlawfirm.com/practice-areas/			https://www.kmlawfirm.com		[ "kmlawfirm.com", "https://kmlawfirm.com/firm-news/", "https://kmlawfirm.com/practice-areas/", "https://www.kmlawfirm.com" ]
oeklaw.com	https://oeklaw.com/services/	https://oeklaw.com/					[ "oeklaw.com", "https://oeklaw.com/services/", "https://oeklaw.com/" ]
lotuslegal.co	https://www.lotuslegal.co/consultation	https://www.lotuslegal.co/work			https://www.lotuslegal.co		[ "lotuslegal.co", "https://www.lotuslegal.co/consultation", "https://www.lotuslegal.co/work", "https://www.lotuslegal.co" ]
doustlaw.com					https://www.doustlaw.com		[ "doustlaw.com", "https://www.doustlaw.com" ]
patriotslawgroup.com	https://www.patriotslawgroup.com/news	https://www.patriotslawgroup.com/practice-areas-13			https://www.patriotslawgroup.com		[ "patriotslawgroup.com", "https://www.patriotslawgroup.com/news", "https://www.patriotslawgroup.com/practice-areas-13", "https://www.patriotslawgroup.com" ]
ottercreeklaw.com	https://www.ottercreeklaw.com/philosophy/	https://www.ottercreeklaw.com/jennifer-guevin/			https://www.ottercreeklaw.com		[ "ottercreeklaw.com", "https://www.ottercreeklaw.com/philosophy/", "https://www.ottercreeklaw.com/jennifer-guevin/", "https://www.ottercreeklaw.com" ]
